label,label_name,text,text_clean
0,ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,why must we sit around and wait for summer days to celebrate such a magical sight when the worlds dressed in white oooooh let there be snow
0,ham,What's ur pin?,what s ur pin
0,ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,hey i booked the kb on sat already what other lessons are we going for ah keep your sat night free we need to meet and confirm our lodging
0,ham,Did he just say somebody is named tampa,did he just say somebody is named tampa
0,ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,my love how come it took you so long to leave for zaher s i got your words on ym and was happy to see them but was sad you had left i miss you
0,ham,I want to be there so i can kiss you and feel you next to me,i want to be there so i can kiss you and feel you next to me
0,ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,staff science nus edu sg phyhcmk teaching pc1323
0,ham,"Alright if you're sure, let me know when you're leaving",alright if you re sure let me know when you re leaving
0,ham,"Haha good to hear, I'm officially paid and on the market for an 8th",haha good to hear i m officially paid and on the market for an 8th
0,ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
0,ham,So how are you really. What are you up to. How's the masters. And so on.,so how are you really what are you up to how s the masters and so on
0,ham,U don't remember that old commercial?,u don t remember that old commercial
0,ham,Lol boo I was hoping for a laugh,lol boo i was hoping for a laugh
0,ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,they have a thread on the wishlist section of the forums where ppl post nitro requests start from the last page and collect from the bottom up
0,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,yes he is really great bhaji told kallis best cricketer after sachin in world very tough to get out
0,ham,on hen night. Going with a swing,on hen night going with a swing
0,ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,you should know now so how s anthony are you bringing money i ve school fees to pay and rent and stuff like that thats why i need your help a friend in need
0,ham,That's one of the issues but california is okay. No snow so its manageable,that s one of the issues but california is okay no snow so its manageable
0,ham,"Like  &lt;#&gt; , same question",like lt gt same question
0,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you doing hope you ve settled in for the new school year just wishin you a gr8 day
0,ham,No plm i will come da. On the way.,no plm i will come da on the way
1,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",you ve won your num costa del sol holiday or å num await collection call num now toclaim sae tc s pobox334 stockport sk38xh costå num pm max10mins
0,ham,Pls she needs to dat slowly or she will vomit more.,pls she needs to dat slowly or she will vomit more
0,ham,ÌÏ collecting ur laptop then going to configure da settings izzit?,ìï collecting ur laptop then going to configure da settings izzit
0,ham,WOT U UP 2 J?,wot u up num j
0,ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,so is th gower mate which is where i am how r u man all is good in wales ill b back åômorrow c u this wk who was the msg num åð random
0,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later i check already lido only got num show in e afternoon u finish work already
0,ham,ok....take care.umma to you too...,ok take care umma to you too
1,spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,moby pub quiz win a å num high street prize if u know who the new duchess of cornwall will be txt her first name to num unsub stop å num num sp
1,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,urgent we are trying to contact u todays draw shows that you have won a å num prize guaranteed call num from land line claim y87 valid 12hrs only
1,spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",new mobiles from num must go txt nokia to no num collect yours today from only å num url 2optout num 50gbp mtmsg18 txtauction
1,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,private your num account statement for shows num un redeemed s i m points call num identifier code 4xx26 expires num num num
0,ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan
0,ham,What not under standing.,what not under standing
0,ham,When should I come over?,when should i come over
0,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard num smth lor u finish ur lunch already
0,ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,but i ll b going num sch on mon my sis need num take smth
0,ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",nt only for driving even for many reasons she is called bbd thts it chikku then hw abt dvg cold heard tht vinobanagar violence hw is the condition and hw ru any problem
0,ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,sitting in mu waiting for everyone to get out of my suite so i can take a shower
1,spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",welcome to select an o2 service with added benefits you can now call our specially trained advisors free from your mobile by dialling num
0,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",hi jon pete here ive bin num spain recently hav sum dinero left bill said u or ur åôrents mayb interested in it i hav num 000pes so around å num tb james
0,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
0,ham,I hope you know I'm still mad at you.,i hope you know i m still mad at you
0,ham,"Sorry battery died, yeah I'm here",sorry battery died yeah i m here
0,ham,I am 6 ft. We will be a good combination!,i am num ft we will be a good combination
0,ham,Correct. So how was work today,correct so how was work today
0,ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,hi here have birth at on the to at 8lb 7oz mother and baby doing brilliantly
0,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",i m tired of arguing with you about this week after week do what you want and from now on i ll do the same
0,ham,Ok that's great thanx a lot.,ok that s great thanx a lot
0,ham,Huh means computational science... Y they like dat one push here n there...,huh means computational science y they like dat one push here n there
0,ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",dear sir salam alaikkum pride and pleasure meeting you today at the tea shop we are pleased to send you our contact number at qatar rakhesh an indian pls save our number respectful regards
0,ham,Hey are you angry with me. Reply me dr.,hey are you angry with me reply me dr
0,ham,Hey happy birthday...,hey happy birthday
0,ham,Lol now I'm after that hot air balloon!,lol now i m after that hot air balloon
0,ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal when are u free katexxx
0,ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum,if you were are free i can give otherwise nalla adi entey nattil kittum
0,ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,oh and by the way you do have more food in your fridge want to go out for a meal tonight
0,ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,i m not driving raining then i ll get caught at e mrt station lor
1,spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,we tried to contact you re your reply to our offer of a video phone num anytime any network mins half price line rental camcorder reply or call num
1,spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia or motorola with upto 12mths num 2price linerental num free x net mins 100txt mth free b tooth call mobileupd8 on num or call 2optout d3wv
0,ham,"Good stuff, will do.",good stuff will do
1,spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,from next month get upto num more calls num ur standard network charge num activate call num c wire3 net 1st4terms pobox84 m26 3uz cost å num min mobcudb more
0,ham,Wat r u doing now?,wat r u doing now
0,ham,Smith waste da.i wanna gayle.,smith waste da i wanna gayle
0,ham,Am i that much bad to avoid like this?,am i that much bad to avoid like this
0,ham,S but not able to sleep.,s but not able to sleep
0,ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,looks like u wil b getting a headstart im leaving here bout num 30ish but if u r desperate for my company i could head in earlier we were goin to meet in rummer
0,ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,true dear i sat to pray evening and felt so so i sms d you in some time
0,ham,K. I will sent it again,k i will sent it again
0,ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",i have num sleeping bags num blanket and paper and phone details anything else
0,ham,Hi dear we saw dear. We both are happy. Where you my battery is low,hi dear we saw dear we both are happy where you my battery is low
0,ham,I will treasure every moment we spend together...,i will treasure every moment we spend together
1,spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,freemsg today s the day if you are ready i m horny live in your town i love sex fun games netcollex ltd 08700621170150p per msg reply stop to end
0,ham,Me n him so funny...,me n him so funny
0,ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",ey calm downon theacusations itxt u cos iwana know wotu r doin at thew end haventcn u in ages ring me if ur up4 nething sat love j xxx
0,ham,"Hmm well, night night",hmm well night night
1,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged å num month please confirm by replying yes or no if you reply no you will not be charged
0,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",okay no no just shining on that was meant to be signing but that sounds better
1,spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you,please call num immediately as there is an urgent message waiting for you
0,ham,Got it..mail panren paru..,got it mail panren paru
0,ham,Thanx but my birthday is over already.,thanx but my birthday is over already
0,ham,ÌÏ only send me the contents page...,ìï only send me the contents page
0,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity of friendship between two is not about smiling after reading the forwarded message its about smiling just by seeing the name gud evng
0,ham,Shall i come to get pickle,shall i come to get pickle
1,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",dear voucher holder num claim this weeks offer at your pc go to url ts cs apply num stop texts txt stop to num
0,ham,Well she's in for a big surprise!,well she s in for a big surprise
0,ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,maybe if you woke up before fucking num this wouldn t be a problem
0,ham,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!,don û t give a flying monkeys wot they think and i certainly don û t mind any friend of mine and all that
0,ham,Sen told that he is going to join his uncle finance in cbe,sen told that he is going to join his uncle finance in cbe
0,ham,I am in a marriage function,i am in a marriage function
0,ham,Also maaaan are you missing out,also maaaan are you missing out
1,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,buy space invaders num a chance num win orig arcade game console press num for games arcade std wap charge see o2 co uk games num terms settings no purchase
0,ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,is there any movie theatre i can go to and watch unlimited movies and just pay once
0,ham,S.i think he is waste for rr..,s i think he is waste for rr
0,ham,I ask if u meeting da ge tmr nite...,i ask if u meeting da ge tmr nite
0,ham,"* Was really good to see you the other day dudette, been missing you!",was really good to see you the other day dudette been missing you
0,ham,I havent add Ì_ yet right..,i havent add ì_ yet right
0,ham,I'm in office now da:)where are you?,i m in office now da where are you
0,ham,Will you be here for food,will you be here for food
0,ham,Do I? I thought I put it back in the box,do i i thought i put it back in the box
0,ham,\Hey j! r u feeling any better,hey j r u feeling any better
0,ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!",camera quite good num 1mega pixels 3optical and 5digital dooms have a lovely holiday be safe and i hope you hav a good journey happy new year to you both see you in a couple of weeks
0,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ill call u 2mrw at ninish with my address that icky american freek wont stop callin me num bad jen k eh
0,ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",hey babe i saw you came online for a second and then you disappeared what happened
0,ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",hello baby did you get back to your mom s are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs
0,ham,I love you both too :-),i love you both too
0,ham,Ugh my leg hurts. Musta overdid it on mon.,ugh my leg hurts musta overdid it on mon
0,ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,yup i m still having coffee wif my frens my fren drove she ll give me a lift
0,ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore",k give me a sec breaking a lt gt at cstore
0,ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas
0,ham,I am waiting for your call sir.,i am waiting for your call sir
0,ham,Did you see that film:),did you see that film
0,ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,oic cos me n my sis got no lunch today my dad went out so dunno whether num eat in sch or wat
0,ham,K then 2marrow are you coming to class.,k then 2marrow are you coming to class
0,ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",i love you you know can you feel it does it make your belly warm i wish it does my love i shall meet you in your dreams ahmad adoring kiss
0,ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,sorry da i was thought of calling you lot of times lil busy i will call you at noon
0,ham,Sorry that was my uncle. I.ll keep in touch,sorry that was my uncle i ll keep in touch
0,ham,Dont show yourself. How far. Put new pictures up on facebook.,dont show yourself how far put new pictures up on facebook
0,ham,I just saw ron burgundy captaining a party boat so yeah,i just saw ron burgundy captaining a party boat so yeah
0,ham,Dont gimme that lip caveboy,dont gimme that lip caveboy
0,ham,Also are you bringing galileo or dobby,also are you bringing galileo or dobby
0,ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,got it it looks scrumptious daddy wants to eat you all night long
0,ham,Hmmm.but you should give it on one day..,hmmm but you should give it on one day
0,ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though",sure thing big man i have hockey elections at num shouldn û t go on longer than an hour though
0,ham,Is that seriously how you spell his name?,is that seriously how you spell his name
0,ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),s from the training manual it show there is no tech process its all about password reset and troubleshooting
0,ham,Ok... Thanx... Gd nite 2 Ì_ too...,ok thanx gd nite num ì_ too
0,ham,Ok... Let u noe when i leave my house.,ok let u noe when i leave my house
0,ham,ÌÏ give me some time to walk there.,ìï give me some time to walk there
0,ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,how do friends help us in problems they give the most stupid suggestion that lands us into another problem and helps us forgt the previous problem
1,spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",latest nokia mobile or ipod mp3 player å num proze guaranteed reply with win to num now norcorp ltd å num mtmsgrcvd18
0,ham,Still at west coast... Haiz... ÌÏ'll take forever to come back...,still at west coast haiz ìï ll take forever to come back
0,ham,"Right on brah, see you later",right on brah see you later
0,ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",i ll see if i can swing by in a bit got some things to take care of here firsg
0,ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,watever relation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories feeling
0,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop
0,ham,So are you guys asking that i get that slippers again or its gone with last year,so are you guys asking that i get that slippers again or its gone with last year
0,ham,He says hi and to get your ass back to south tampa (preferably at a kegger),he says hi and to get your ass back to south tampa preferably at a kegger
1,spam,88066 FROM 88066 LOST 3POUND HELP,num from num lost 3pound help
0,ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",mmmmmm i love you so much ahmad i can t wait for this year to begin as every second takes me closer to being at your side happy new year my love
1,spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",congratulations thanks to a good friend u have won the å num xmas prize num claim is easy just call num now only 10p per minute bt national rate
0,ham,Dear got bus directly to calicut,dear got bus directly to calicut
0,ham,"Ya ok, then had dinner?",ya ok then had dinner
1,spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,splashmobile choose from 1000s of gr8 tones each wk this is a subscrition service with weekly tones costing 300p u have one credit kick back and enjoy
0,ham,Now got tv 2 watch meh? U no work today?,now got tv num watch meh u no work today
0,ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,aslamalaikkum insha allah tohar beeen muht albi mufti mahfuuz meaning same here
0,ham,I am in hospital da. . I will return home in evening,i am in hospital da i will return home in evening
0,ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",well the general price is lt gt oz let me know if when how much you want
0,ham,Wat time Ì_ wan today?,wat time ì_ wan today
1,spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,your next amazing xxx picsfree1 video will be sent to you enjoy if one vid is not enough for 2day text back the keyword picsfree1 to get the next video
0,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",ya they are well and fine bbd pooja full pimples even she become quite black and ur rite here its too cold wearing sweatter
0,ham,Need a coffee run tomo?Can't believe it's that time of week already,need a coffee run tomo can t believe it s that time of week already
0,ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week
0,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,so its to be poking man everyday that they teach you in canada abi how are you just saying hi
1,spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.,we currently have a message awaiting your collection to collect your message just call num
0,ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",good afternoon my boytoy how are you feeling today better i hope are you being my good boy are you my obedient slave do you please your queen
0,ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",oh a half hour is much longer in syria than canada eh wow you must get so much more work done in a day than us with all that extra time grins
0,ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,cos i was out shopping wif darren jus now n i called him num ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor
0,ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),if u laugh really loud if u talk spontaneously if u dont care what others feel u are probably with your dear amp best friends goodevening dear
0,ham,Sounds like something that someone testing me would sayy,sounds like something that someone testing me would sayy
1,spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,had your mobile 11mths update for free to oranges latest colour camera mobiles unlimited weekend calls call mobile upd8 on freefone num or 2stoptx
0,ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),nice line said by a broken heart plz don t cum num more times infront of me other wise once again i ll trust u good 9t
0,ham,And whenever you and i see we can still hook up too.,and whenever you and i see we can still hook up too
0,ham,I'm leaving my house now...,i m leaving my house now
0,ham,I hope your pee burns tonite.,i hope your pee burns tonite
0,ham,I think its far more than that but find out. Check google maps for a place from your dorm.,i think its far more than that but find out check google maps for a place from your dorm
0,ham,I borrow ur bag ok.,i borrow ur bag ok
0,ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,badrith is only for chennai i will surely pick for us no competition for him
0,ham,Good evening! this is roger. How are you?,good evening this is roger how are you
0,ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,hi di is yijue we re meeting at num pm at esaplanade tonight
1,spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",do you ever notice that when you re driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac
0,ham,Thats cool. I want to please you...,thats cool i want to please you
